Title,Alternate Title,Description,URL
Requiem for a Dream,Orzular Marsiyasi,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.,https://www.imdb.com/title/tt0180093/
Star Wars: Episode VI - Return of the Jedi,Yulduzlar jangi: Epizod VI - Jedayning qaytishi,"After rescuing Han Solo from Jabba the Hutt, the Rebel Alliance attempts to destroy the second Death Star while Luke struggles to help Darth Vader back from the dark side.",https://www.imdb.com/title/tt0086190/
Toy Story 3,O&apos;yinchoqlar hikoyasi 3,"The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it&apos;s up to Woody to convince the other toys that they weren&apos;t abandoned and to return home.",https://www.imdb.com/title/tt0435761/
Jagten,Ov Daniya,"A teacher lives a lonely life, all the while struggling over his son&apos;s custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent li...",https://www.imdb.com/title/tt2106476/
Ikiru,Yashash,A bureaucrat tries to find meaning in his life after he discovers he has terminal cancer.,https://www.imdb.com/title/tt0044741/
Eternal Sunshine of the Spotless Mind,Beg&apos;ubor aqlning abadiy yorug&apos;ligi,"When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories forever.",https://www.imdb.com/title/tt0338013/
Incendies,Yong&apos;inlar,Twins journey to the Middle East to discover their family history and fulfill their mother&apos;s last wishes.,https://www.imdb.com/title/tt1255953/
The Apartment,Kvartira,"A Manhattan insurance clerk tries to rise in his company by letting its executives use his apartment for trysts, but office politics and his own romantic hopes complicate matters.",https://www.imdb.com/title/tt0053604/
2001: A Space Odyssey,2001-yil: Kosmik odissey,"When a mysterious artifact is uncovered on the Moon, a spacecraft manned by two humans and one supercomputer is sent to Jupiter to find its origins.",https://www.imdb.com/title/tt0062622/
Lawrence of Arabia,Arabistonlik Lourens,"The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks.",https://www.imdb.com/title/tt0056172/
Reservoir Dogs,Quturgan itlar,"When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant.",https://www.imdb.com/title/tt0105236/
Scarface,Chandiq yuz,"In the 1980s, a determined criminal-minded Cuban immigrant becomes the biggest drug smuggler in Miami, and is eventually undone by his own drug addiction.",https://www.imdb.com/title/tt0086250/
Heat,To&apos;qnashuv,A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a verbal clue at their latest heist.,https://www.imdb.com/title/tt0113277/
Double Indemnity,Ikki tomonlama sug&apos;urta,"An insurance representative is seduced by a dissatisfied housewife into a scheme of insurance fraud and murder that arouses the suspicion of his colleague, a claims investigator.",https://www.imdb.com/title/tt0036775/
North by Northwest,Shimoli-g&apos;arbiy orqali shimolga,"A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies, and falls for a woman whose loyalties he begins to doubt.",https://www.imdb.com/title/tt0053125/
Up,Tepaga,"78-year-old Carl Fredricksen travels to South America in his house equipped with balloons, inadvertently taking a young stowaway.",https://www.imdb.com/title/tt1049413/
M - Eine Stadt sucht einen Mörder,M,"When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt.",https://www.imdb.com/title/tt0022100/
Citizen Kane,Fuqaro Keyn,"Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance: &apos;Rosebud.&apos;",https://www.imdb.com/title/tt0033467/
Full Metal Jacket,To&apos;liqmetall qobiq,A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.,https://www.imdb.com/title/tt0093058/
Vertigo,Bosh aylanishi,"A former San Francisco police detective juggles wrestling with his personal demons and becoming obsessed with the hauntingly beautiful woman he has been hired to trail, who may be deeply disturbed.",https://www.imdb.com/title/tt0052357/
Le fabuleux destin d&apos;Amélie Poulain,Ameli,"Despite being caught in her imaginative world, young waitress Amelie decides to help people find happiness. Her quest to spread joy leads her on a journey during which she finds true love.",https://www.imdb.com/title/tt0211915/
Taare Zameen Par,Yerdagi yulduzchalar,A young boy is thought to be nothing but a lazy troublemaker until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school.,https://www.imdb.com/title/tt0986264/
Jodaeiye Nader az Simin,Ayriliq,A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer&apos;s disease.,https://www.imdb.com/title/tt1832382/
To Kill a Mockingbird,Mazaxchini o&apos;ldirish,A widowed lawyer in Depression-era Alabama defends a black man against a false rape charge while teaching his young children about the sad reality of prejudice.,https://www.imdb.com/title/tt0056592/
Die Hard,O&apos;tda yonmas,"A New York City cop, John McClane, tries to save his estranged wife and several others taken hostage by terrorists during a Christmas Eve party at the Nakatomi Plaza Skyscraper in Los Angeles, California.",https://www.imdb.com/title/tt0095016/
Indiana Jones and the Last Crusade,Indiana Jons va oxirgi salib yurishi,"In 1938, after his father goes missing while pursuing the Holy Grail, Indiana Jones finds himself up against the Nazis again to stop them from obtaining its powers.",https://www.imdb.com/title/tt0097576/
The Sting,Tovlamachilik,Two grifters team up to pull off the ultimate con.,https://www.imdb.com/title/tt0070735/
A Clockwork Orange,,Alex DeLarge and his droogs barbarize a decaying near-future.,https://www.imdb.com/title/tt0066921/
Metropolis,,"In a futuristic city sharply divided between the working class and the city planners, the son of the city&apos;s mastermind falls in love with a working-class prophet who predicts the coming of a savior to mediate their differences.",https://www.imdb.com/title/tt0017136/
Oppenheimer,Oppengeymer,"A dramatization of the life story of J. Robert Oppenheimer, the physicist who had a large hand in the development of the atomic bombs that brought an end to World War II.",https://www.imdb.com/title/tt15398776/
Hababam Sinifi: Sinifta Kaldi,,A young and beautiful female teacher starts working in an all boys high school.,https://www.imdb.com/title/tt0252488/
Snatch,Katta kush,"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond.",https://www.imdb.com/title/tt0208092/
1917,,"April 6th, 1917. As an infantry battalion assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap.",https://www.imdb.com/title/tt8579674/
L.A. Confidential,Los-Anjeles sirlari,"As corruption grows in 1950s Los Angeles, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice.",https://www.imdb.com/title/tt0119488/
Ladri di biciclette,Velosiped o&apos;g&apos;rilari,"In post-war Italy, a working-class man&apos;s bicycle is stolen, endangering his efforts to find work. He and his son set out to find it.",https://www.imdb.com/title/tt0040522/
Der Untergang,,"Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator&apos;s final days in his Berlin bunker at the end of WWII.",https://www.imdb.com/title/tt0363163/
Dangal,,"Mahavir Singh Phogat, a former wrestler, decides to fulfill his dream of winning a gold medal for his country by training his daughters for the Commonwealth Games despite the existing social stigmas.",https://www.imdb.com/title/tt5074352/
The Wolf of Wall Street,Uoll-strit bo&apos;risi,"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.",https://www.imdb.com/title/tt0993846/
Hamilton,,"The real life of one of America&apos;s foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast.",https://www.imdb.com/title/tt8503618/
Green Book,Yashil kitob,A working-class Italian-American bouncer becomes the driver for an African-American classical pianist on a tour of venues through the 1960s American South.,https://www.imdb.com/title/tt6966692/
Taxi Driver,Kirakash,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action.",https://www.imdb.com/title/tt0075314/
The Truman Show,Truman tomoshasi,An insurance salesman begins to suspect that his whole life is actually some sort of reality TV show.,https://www.imdb.com/title/tt0120382/
Batman Begins,Betmen: Muqaddima,"After witnessing his parents&apos; death, billionaire Bruce Wayne learns the art of fighting to confront injustice. When he returns to Gotham as Batman, he must stop a secret society that intends to destroy the city.",https://www.imdb.com/title/tt0372784/
Per qualche dollaro in più,Bir nechta dollar ko&apos;proq,Two bounty killers with similar intentions but different motivations team up to track down a psychotic Mexican outlaw before he and his gang can carry out an audacious bank robbery.,https://www.imdb.com/title/tt0059578/
Judgment at Nuremberg,,"Fictionalized depiction of the 1947 Judges&apos; Trial, the third of 12 trials of Nazi war criminals conducted by the American occupying forces in Nuremberg, Germany, in which former judges of Nazi Germany were tried for their actions.",https://www.imdb.com/title/tt0055031/
Some Like It Hot,,"After two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in.",https://www.imdb.com/title/tt0053291/
Shutter Island,La&apos;natlanganlar oroli,Two US marshals are sent to a mental institution on an inhospitable island in order to investigate the disappearance of a patient.,https://www.imdb.com/title/tt1130884/
The Kid,,"The Tramp cares for an abandoned child, but events put their relationship in jeopardy.",https://www.imdb.com/title/tt0012349/
The Father,Ota,"A man refuses all assistance from his daughter as he ages. When he tries to understand what is happening around him, he begins to doubt his loved ones, his own mind and even the fabric of his reality.",https://www.imdb.com/title/tt10272386/
